real,forecast
5.103367329,6.106483088931023
4.985766411,6.236789241408058
4.872900009,6.172796019868251
4.752733707,6.224150754606391
4.613666534,6.5745111384847155
4.475366592,6.425013888389771
4.347000122,6.418841660365437
4.203166485,6.452782647762085
4.035699844,5.742017761948071
3.865466595,5.644718792476407
3.696266651,5.648383983642152
3.510999918,5.689834518040239
3.318999767,3.7995748528603204
3.059033394,3.863772507950021
2.818000078,3.8832379626934994
2.51343298,3.8970330502561614
2.137599945,1.5641181149011734
1.757933497,1.60309856938427
1.337100029,1.6070330464301938
0.650266647,1.5965441421961104
0.135466665,0.38712699224191205
0.077099994,0.41695375746272845
0.041833319,0.4082054492063254
-0.000733334,0.3977146605940429
-0.022399995,-0.0056861346479686325
-0.0132,-0.013223100121071862
-0.018133333,-0.0309524140939601
-0.010533331,-0.04323682096506598
0.0,-0.14440315416410643
0.0,-0.16937403052556288
0.0,-0.18494792815561167
0.0,-0.19860066343119698
0.0,-0.11906187170678795
0.0,-0.14094985829642992
0.0,-0.15331858960654143
0.0,-0.16492176981951623
0.0,-0.12471611082786005
0.0,-0.1472012749602687
0.0,-0.15965230884169124
0.0,-0.17263262260013645
0.0,-0.10618032322603232
0.0,-0.11910659656195488
0.0,-0.1298817090273383
0.0,-0.2515870099635782
0.0,-0.09959085988733296
0.0,-0.11564774306328918
0.0,-0.1259201579561724
0.0,-0.2489157746876729
0.0,-0.09591845235646979
0.0,-0.11602053296562831
0.0,-0.12624043427020215
0.0,-0.2490167776402279
0.0,-0.06805576075418918
0.0,-0.08404046410284316
0.0,-0.2275115519518991
0.0,-0.2502296875234138
0.0,-0.06677521400657005
0.0,-0.08447798025235054
0.0,-0.2130341537498044
0.0,-0.2331973406271497
0.0,-0.0698745428504206
0.0,-0.08921203954969936
0.0,-0.23129184663006797
0.0,-0.2663067834161619
0.0,-0.050363509682980645
0.0,-0.06653396749387452
0.0,-0.12385419676048759
0.0,-0.21232569728477557
0.0,-0.0682395586849669
0.0,-0.06915584146792497
0.0,-0.08794607451593128
0.0,-0.21546198223202495
0.0,-0.09187290894649891
0.0,-0.07765969891764835
0.0,-0.08881970839370279
0.0,-0.20700839552704275
0.0,-0.08433707606100294
0.0,-0.053860989231227396
0.0,-0.05814803330055751
